Plot ID,Land Type,Longitude,Latitude,pH,Clay (%),OM (%),N (%),P2O5(kg/ha),K (kg/ha),Green Wt. (g),Rooibos Wt. (g),"Mr,g",ag,S,ar,"Mr,r",k (day-1)
P01,Forest,85.35727,27.75346,5.59,18.55,3.15,0.154,127.89,291.93,0.824,1.618,0.412,0.588,0.3017,0.3855,0.809,0.007601
P02,Forest,85.35819,27.75346,5.58,19.53,3.11,0.149,132.05,281.04,0.832,1.624,0.416,0.584,0.3064,0.3829,0.812,0.007503
P03,Forest,85.35912,27.75346,5.65,18.11,3.29,0.162,144.06,279.85,0.81,1.606,0.405,0.595,0.2933,0.3901,0.803,0.007813
P04,Forest,85.36004,27.75346,5.71,18.68,3.37,0.173,146.8,322.5,0.796,1.594,0.398,0.602,0.285,0.3947,0.797,0.008024
P05,Forest,85.36097,27.75346,5.66,18.12,3.17,0.162,147.97,301.26,0.82,1.614,0.41,0.59,0.2993,0.3868,0.807,0.007679
P06,Forest,85.35727,27.75256,5.58,19.05,3.17,0.158,123.28,270.51,0.828,1.62,0.414,0.586,0.304,0.3842,0.81,0.007581
P07,Forest,85.36004,27.75256,5.68,18.13,3.47,0.181,162.25,307.25,0.784,1.582,0.392,0.608,0.2779,0.3986,0.791,0.008256
P08,Forest,85.36097,27.75256,5.68,18.47,3.6,0.175,157.01,317.4,0.772,1.57,0.386,0.614,0.2708,0.4025,0.785,0.008488
P09,Forest,85.36375,27.75166,5.64,17.28,3.02,0.146,140.16,261.33,0.84,1.63,0.42,0.58,0.3112,0.3802,0.815,0.007407
P10,Forest,85.36467,27.75166,5.63,17.34,3.17,0.151,140.37,281.9,0.822,1.616,0.411,0.589,0.3005,0.3861,0.808,0.007641
P11,Peri-Urban,85.36004,27.75077,5.65,17.44,3.31,0.171,153.38,293.3,0.852,1.642,0.426,0.574,0.3183,0.3763,0.821,0.007174
P12,Peri-Urban,85.36097,27.75077,5.62,17.87,3.42,0.174,152.18,289.26,0.846,1.636,0.423,0.577,0.3147,0.3783,0.818,0.007289
P13,Peri-Urban,85.36375,27.75077,5.65,17.72,3.04,0.157,136.28,284.56,0.87,1.658,0.435,0.565,0.329,0.3704,0.829,0.006881
P14,Peri-Urban,85.36364,27.74987,5.62,18.33,3.59,0.183,161.74,322.43,0.836,1.628,0.418,0.582,0.3088,0.3815,0.814,0.007428
P15,Peri-Urban,85.35819,27.74987,5.63,18.24,3.53,0.172,170.62,325.5,0.84,1.63,0.42,0.58,0.3112,0.3802,0.815,0.007407
P16,Peri-Urban,85.35912,27.74987,5.67,17.63,3.4,0.181,165.85,311.35,0.844,1.634,0.422,0.578,0.3135,0.3789,0.817,0.00733
P17,Peri-Urban,85.36004,27.74987,5.6,18.75,2.97,0.157,146.02,287.45,0.876,1.664,0.438,0.562,0.3325,0.3685,0.832,0.006763
P18,Peri-Urban,85.36097,27.74987,5.56,18.03,3.15,0.15,160.7,269,0.864,1.652,0.432,0.568,0.3254,0.3724,0.826,0.006996
P19,Peri-Urban,85.36282,27.74987,5.61,17.41,3.47,0.18,174.55,301.61,0.842,1.632,0.421,0.579,0.3124,0.3796,0.816,0.007367
P20,Peri-Urban,85.36375,27.74987,5.65,19.05,3.13,0.151,122.66,253.59,0.866,1.654,0.433,0.567,0.3266,0.3717,0.827,0.006959
P21,Grassland,85.35541,27.75436,5.56,19.54,2.78,0.15,131.04,272.24,0.898,1.684,0.449,0.551,0.3456,0.3612,0.842,0.006392
P22,Grassland,85.35727,27.75436,5.58,19.11,2.79,0.148,143.55,303.49,0.894,1.68,0.447,0.553,0.3432,0.3626,0.84,0.006467
P23,Grassland,85.36282,27.75436,5.62,17.94,2.74,0.131,157.32,247.44,0.902,1.688,0.451,0.549,0.348,0.3599,0.844,0.006313
P24,Grassland,85.36467,27.75436,5.56,18.71,2.91,0.135,147.94,245.89,0.886,1.672,0.443,0.557,0.3385,0.3651,0.836,0.006626
P25,Grassland,85.3656,27.75436,5.59,18.14,2.86,0.14,142.24,261.83,0.89,1.676,0.445,0.555,0.3409,0.3638,0.838,0.006548
P26,Grassland,85.35541,27.75346,5.66,18.22,2.84,0.148,135.58,258.53,0.892,1.678,0.446,0.554,0.342,0.3632,0.839,0.006508
P27,Grassland,85.36467,27.75346,5.46,17.2,2.8,0.136,130.04,250.54,0.896,1.682,0.448,0.552,0.3444,0.3619,0.841,0.006429
P28,Grassland,85.3656,27.75346,5.61,17.72,2.68,0.139,152.22,266.63,0.91,1.696,0.455,0.545,0.3527,0.3573,0.848,0.006157
P29,Grassland,85.36375,27.75256,5.61,17.83,2.81,0.134,130.56,257.71,0.894,1.68,0.447,0.553,0.3432,0.3626,0.84,0.006467
P30,Grassland,85.36467,27.75256,5.46,17.79,2.99,0.145,137.06,254.07,0.88,1.666,0.44,0.56,0.3349,0.3671,0.833,0.006742
